Product name,Product price,Prod Review,Product Rate,Product stock,Product condition,Product Picture,Product Specs,sold,Store Name,Store Location,Process Time,Store Feedback Score,Product Link
Laptop Dell 6510 Core i7 - Support Gaming - Bonus mouse,Rp3.199.000,dari 420 ulasan,4.6,Tersedia > 10 stok barang,BEKAS,https://s1.bukalapak.com/img/63696668782/large/data.jpeg,"['Kategori : Laptop', 'Berat : 5 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 15-16']",485 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/qghm1v-jual-laptop-dell-6510-core-i7-support-gaming-bonus-mouse?from=list-product&pos=10
Laptop Hp 8440p Core i5 Sedang promo,Rp2.549.000,dari 920 ulasan,4.6,Tersedia > 10 stok barang,BEKAS,https://s3.bukalapak.com/img/82038459292/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : HP', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",1.156 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/c0of1z-jual-laptop-hp-8440p-core-i5-sedang-promo?from=list-product&pos=11
Laptop Lenovo T410 Core i5,Rp2.399.000,dari 477 ulasan,4.7,Tersedia > 10 stok barang,BEKAS,https://s2.bukalapak.com/img/29982668782/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Lenovo', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",577 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/8m9yb8-jual-laptop-lenovo-t410-core-i5?from=list-product&pos=12
Laptop Lenovo X240 Core i5 - RAM 8GB - HDD 500GB - SUPER MURAH,Rp3.549.000,dari 230 ulasan,4.8,Tersedia > 10 stok barang,BEKAS,https://s1.bukalapak.com/img/64190045762/large/data.jpeg,"['Kategori : Laptop', 'Berat : 3 kilogram', 'Asal Barang : Lokal', 'Brand : Lenovo', 'Kapasitas Hardisk : 500GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : 12-13']",268 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/10wf25e-jual-laptop-lenovo-x240-core-i5-ram-8gb-hdd-500gb-super-murah?from=list-product&pos=13
Laptop Dell 5510 Core i5 promo harga,Rp2.299.000,dari 521 ulasan,4.7,Tersedia > 10 stok barang,BEKAS,https://s0.bukalapak.com/img/58460616662/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 15-16']",660 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/aenedi-jual-laptop-dell-5510-core-i5-promo-harga?from=list-product&pos=14
Laptop Toshiba R732 i5 Gen 3 Kondisi No Minus Bergaransi,Rp3.000.000,dari 4 ulasan,5,Tersedia > 10 stok barang,BEKAS,https://s3.bukalapak.com/img/89779132192/large/data.jpeg,"['Kategori : Laptop', 'Berat : 3 kilogram', 'Asal Barang : Impor', 'Brand : Toshiba', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 13-14']",5 Terjual,LAPTOP MURAH AMANAH,Bandung,± 17 jam,99%,https://www.bukalapak.com/p/komputer/laptop/4fkmj1s-jual-laptop-toshiba-r732-i5-gen-3-kondisi-no-minus-bergaransi?from=list-product&pos=15
Laptop HP 3115 Vga Radeon,Rp1.750.000,dari 1 ulasan,5,Stok terbatas! Tersisa 1 lagi!,BEKAS,https://s4.bukalapak.com/img/45717048292/large/data.,"['Kategori : Laptop Ultrabook', 'Berat : 3 kilogram', 'Asal Barang : Lokal', 'Brand : HP', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : <12 inches']",1 Terjual,Gangsal,Depok,± 10 jam,100%,https://www.bukalapak.com/p/komputer/laptop/laptop-ultrabook/4g41aqy-jual-laptop-hp-3115-vga-radeon?from=list-product&pos=16
LAPTOP DELL PRECISION 7510 CORE I 7 6920HQ R 32GB SSD 512GB,Rp12.850.000,dari 1 ulasan,5,Stok terbatas! Tersisa 9 lagi!,BEKAS,https://s3.bukalapak.com/img/89086169162/large/data.jpeg,"['Kategori : Laptop', 'Berat : 6,5 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 750GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : 15-16']",1 Terjual,LANGKAT JAYA COMPUTER,Jakarta Pusat,± 11 jam,100%,https://www.bukalapak.com/p/komputer/laptop/3zktmgy-jual-laptop-dell-precision-7510-core-i-7-6920hq-r-32gb-ssd-512gb?from=list-product&pos=17
Laptop Dell core2 duo D630 Dan D620 14 inch,Rp1.350.000,dari 12 ulasan,4.4,"TIPE LAPTOP
Pilih TIPE LAPTOP",BEKAS,https://s0.bukalapak.com/img/00371560192/small/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : <250GB', 'Kapasitas Memory : 2Gb', 'Screen Size : 13-14']",14 Terjual,Theresia Mart,Jakarta Utara,± 20 jam,100%,https://www.bukalapak.com/p/komputer/laptop/4ai6jj5-jual-laptop-dell-core2-duo-d630-dan-d620-14-inch?from=list-product&pos=18
LAPTOP DELL E4300 CORE 2 DUO FREE TAS DAN MOUSE,Rp1.350.000,dari 5 ulasan,5,"Tipe Laptop
Pilih Tipe Laptop",BARU,https://s3.bukalapak.com/img/87847263292/small/data.png,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : DELL', 'Kapasitas Hardisk : <250GB', 'Kapasitas Memory : 2Gb', 'Screen Size : 13-14']",6 Terjual,Theresia Mart,Jakarta Utara,± 20 jam,100%,https://www.bukalapak.com/p/komputer/laptop/4eka4gj-jual-laptop-dell-e4300-core-2-duo-free-tas-dan-mouse?from=list-product&pos=19
LAPTOP LIKE NEW HP PROBOOK 6570B CORE I5 GEN 3,Rp2.300.000,dari 4 ulasan,5,"variasi ram
Pilih variasi ram",,https://s3.bukalapak.com/img/85930449292/large/data.png,"['Kategori : Laptop 2in1', 'Berat : 5 kilogram', 'Asal Barang : Lokal']",5 Terjual,Wilaza Komputer,Jakarta Barat,± 16 jam,99%,https://www.bukalapak.com/p/komputer/laptop/laptop-2in1/4fros4a-jual-laptop-like-new-hp-probook-6570b-core-i5-gen-3?from=list-product&pos=20
LAPTOP GAMING HP 245 G7 AMD RYZEN 3 3250U RAM 4GB HDD 1TB VGA RADEON LCD 14 INCH,Rp5.998.000,dari 1 ulasan,5,Tersedia > 500 stok barang,BARU,https://s3.bukalapak.com/img/83245925482/large/data.jpeg,"['Kategori : Laptop', 'Berat : 3,2 kilogram', 'Asal Barang : Lokal', 'Brand : HP', 'Kapasitas Hardisk : >1TB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",1 Terjual,Rumah Laptop,Jakarta Pusat,± 1-2 hari,100%,https://www.bukalapak.com/p/komputer/laptop/4d06tw4-jual-laptop-gaming-hp-245-g7-amd-ryzen-3-3250u-ram-4gb-hdd-1tb-vga-radeon-lcd-14-inch?from=list-product&pos=21
GPD Pocket 2 Ultra Mini Laptop 7 inch 8GB RAM 256GB SSD Intel 3965Y Windows 10 Touchscreen,Rp8.800.000,dari 2 ulasan,5,Tersedia > 50 stok barang,BARU,https://s4.bukalapak.com/img/45386791562/small/data.png,"['Kategori : Laptop', 'Berat : 1,2 kilogram', 'Asal Barang : Lokal', 'Brand : Merk Lain', 'Kapasitas Hardisk : <250GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : <12 inches']",2 Terjual,Juragantablet,Jakarta Barat,± 14 jam,93%,https://www.bukalapak.com/p/komputer/laptop/41ttnve-jual-gpd-pocket-2-ultra-mini-laptop-7-inch-8gb-ram-256gb-ssd-intel-3965y-windows-10-touchscreen?from=list-product&pos=22
LAPTOP ASUS M509BA - AMD A4 9125 4GB 256GB 15inch AMD RADEON W10OHS - silver,Rp5.000.000,dari 1 ulasan,5,Stok terbatas! Tersisa 9 lagi!,BARU,https://s1.bukalapak.com/img/68393584192/large/data.jpeg,"['Kategori : Laptop 2in1', 'Berat : 1 kilogram', 'Asal Barang : Lokal', 'Brand : Asus', 'Kapasitas Hardisk : 256GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 15-16']",1 Terjual,benze menshop,Jakarta Pusat,± 2 jam,100%,https://www.bukalapak.com/p/komputer/laptop/laptop-2in1/4fns3t7-jual-laptop-asus-m509ba-amd-a4-9125-4gb-256gb-15inch-amd-radeon-w10ohs-silver?from=list-product&pos=23
LAPTOP ACER ASPIRE 5 A514-54 Core i5-1135G7 SSD IRIS Xe FHD IPS W10 OHS,Rp9.499.000,dari 1 ulasan,5,Stok terbatas! Tersisa 6 lagi!,BARU,https://s2.bukalapak.com/img/79225578292/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Acer', 'Kapasitas Hardisk : 500GB', 'Kapasitas Memory : >=8Gb', 'Screen Size : 13-14']",1 Terjual,Acer Lenovo Store Bekasi,Bekasi,± 17 jam,99%,https://www.bukalapak.com/p/komputer/laptop/yea7zt-jual-laptop-acer-aspire-5-a514-54-core-i5-1135g7-ssd-iris-xe-fhd-ips-w10-ohs?from=list-product&pos=24
Laptop Toshiba B551 Core i5 obral murah,Rp2.699.000,dari 287 ulasan,4.7,Tersedia > 10 stok barang,BEKAS,https://s0.bukalapak.com/img/09116226662/large/data.jpeg,"['Kategori : Laptop', 'Berat : 5 kilogram', 'Asal Barang : Lokal', 'Brand : Toshiba', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 15-16']",346 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/an6rz6-jual-laptop-toshiba-b551-core-i5-obral-murah?from=list-product&pos=25
Laptop Dell E6410 Core i5 - RAM 4GB -HDD 320GB - BONUS MOUSE,Rp2.099.000,dari 254 ulasan,4.7,Tersedia > 50 stok barang,BEKAS,https://s1.bukalapak.com/img/18190316522/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",325 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/1349djf-jual-laptop-dell-e6410-core-i5-ram-4gb-hdd-320gb-bonus-mouse?from=list-product&pos=26
Laptop dell d630 ram 2gb cocok untuk belajar anak dirumah mengerjakan tugas ok,Rp1.200.000,dari 82 ulasan,4.6,Tersedia > 10 stok barang,BEKAS,https://s0.bukalapak.com/img/54070742392/large/data.jpeg,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : Dell', 'Kapasitas Hardisk : <250GB', 'Kapasitas Memory : <=256Mb', 'Screen Size : <12 inches']",103 Terjual,Michayla Computer,Kab. Tangerang,± 23 jam,100%,https://www.bukalapak.com/p/komputer/laptop/lr0y1t-jual-laptop-dell-d630-ram-2gb-cocok-untuk-belajar-anak-dirumah-mengerjakan-tugas-ok?from=list-product&pos=27
Laptop Lenovo X220 Core i5 Mesin ori dan siap pakai,Rp2.599.000,dari 85 ulasan,4.8,Tersedia > 10 stok barang,BEKAS,https://s1.bukalapak.com/img/68217072522/large/data.jpeg,"['Kategori : Laptop', 'Berat : 3 kilogram', 'Asal Barang : Lokal', 'Brand : Lenovo', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 12-13']",107 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/d7vggb-jual-laptop-lenovo-x220-core-i5-mesin-ori-dan-siap-pakai?from=list-product&pos=28
Laptop Hp 6450B Core i5 Harga terjangkau sedang Promo,Rp2.399.000,dari 69 ulasan,4.6,Tersedia > 10 stok barang,BEKAS,https://s0.bukalapak.com/img/05890465641/large/data.png,"['Kategori : Laptop', 'Berat : 4 kilogram', 'Asal Barang : Lokal', 'Brand : HP', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 14-15']",106 Terjual,tomy batavia Com,Bekasi,± 16 jam,97%,https://www.bukalapak.com/p/komputer/laptop/fpqafe-jual-laptop-hp-6450b-core-i5-harga-terjangkau-sedang-promo?from=list-product&pos=29
laptop second thosiba dynabook R731 core i3 -- memory 4gbb --320gb,Rp2.000.000,dari 2 ulasan,5,Tersedia > 10 stok barang,BEKAS,https://s2.bukalapak.com/img/74722618192/large/data.jpeg,"['Kategori : Laptop Ultrabook', 'Berat : 3,5 kilogram', 'Asal Barang : Impor', 'Brand : Toshiba', 'Kapasitas Hardisk : 320GB', 'Kapasitas Memory : 4Gb', 'Screen Size : 13in']",5 Terjual,Max notebook,Jakarta Barat,± 11 jam,94%,https://www.bukalapak.com/p/komputer/laptop/laptop-ultrabook/4frvz7v-jual-laptop-second-thosiba-dynabook-r731-core-i3-memory-4gbb-320gb?from=list-product&pos=30
